No,ID,Nama,Kalori,Karbohidrat,Protein,Lemak,Jenis,Rating
50,,Bagea Kelapa Asin,900,156.2,6.4,27.8,Konfeksioneri,3.87
51,BP014,Bagea Kelapa Manis,904,161.2,2.6,27.6,Umbi Berpati,3.21
52,,Bagea Kenari Asin,1058,127.2,6.4,58.2,Konfeksioneri,2.03
53,,Bagea Kenari Manis,1046,128.4,6.4,56.4,Konfeksioneri,4.77
54,BP017,Bagea Kualitas 1,832,152.6,13,18.8,Umbi Berpati,2.91
55,BP018,Bagea Kualitas 2,764,174.4,0.6,7,Umbi Berpati,2.85
56,,Bakmi,276,50.4,9,4.2,Serealia,3.05
57,AP030,Bakpia,544,88.2,17.4,13.4,Serealia,2.16
58,,Bakso,152,18.4,8.2,5,Daging,2.01
59,,Bakso Ikan,214,23.44,22.54,2.46,Daging,3.78
60,AP031,Bakwan,560,78,16.4,20.4,Serealia,2.52
61,,Barongko,318,47,6.2,11.6,Buah,4.42
62,,Baruasa,834,158.6,13,16.4,Konfeksioneri,3.63
63,,Batar Daan,214,39.2,4.4,4.4,Sayuran,2.72
64,DR008,Bayam ,32,5.8,1.8,0.8,Sayuran,2.99
65,DP001,Bayam Kukus,60,11.6,2.6,1.4,Sayuran,4.71
66,,Bayam Merah,102,20,9.2,1,Sayuran,4.58
67,DP002,Bayam Rebus,46,7.4,2.4,1.2,Sayuran,4.63
68,,Bayam Tumis Oncom,204,13.8,7.4,13.4,Sayuran,2.77
69,,Bayam Tumis Bersantan,96,5.2,2.8,8.4,Sayuran,4.69
70,FP003,Bebek Goreng,600,9,48,41.4,Daging,2.57
71,,Beberuk,130,7,2.2,10.4,Sayuran,2.25
72,,Beef Burger,516,65,21.2,19,Daging,3.53
73,,Beef Teriyaki ,302,44.6,17.2,6.2,Daging,4.51
74,,Beef Yakiniku ,264,41.4,19.6,2.2,Daging,4.79
75,,Bekasam,232,12.2,23.8,9.8,Ikan dan Makanan Laut,4.23
76,,Bekasang,156,7.2,22.8,4,Ikan dan Makanan Laut,3.27
77,,Belibis,262,5.6,40.4,8.6,Daging,2.12
78,ER006,Belimbing Wuluh ,72,17.6,0.8,0.8,Buah,4.31
79,GP002,Belut Goreng,834,64,51.8,38.8,Ikan dan Makanan Laut,2.47
80,BR005,Bengkuang ,118,25.6,2.8,0.4,Umbi Berpati,3.84
81,,Nasi,356,81.2,4.2,0.2,Serealia,4.05
82,,Beras Ketan Putih Kukus,326,71.4,6,0.8,Serealia,4.84
83,,Bihun,720,164.2,9.4,0.2,Serealia,2.67
84,,Bihun Goreng,308,51,6,9,Serealia,3.44
85,AP007,Bihun Goreng Instan,762,160.6,12.2,7.8,Serealia,3.78
86,AP035,Bika Ambon,398,88.8,4.2,3,Serealia,3.24
87,,Bingka,546,78.2,10.6,21.2,Konfeksioneri,2.54
88,,Bobengka,450,90.4,10.6,5.2,Konfeksioneri,3.17
89,,Bolu Peca,394,6.6,9.2,71.2,Konfeksioneri,4.78
90,,Botok Lamtoro,372,26,23.4,19.4,Sayuran,4.71
91,,Brem,498,116,6.8,0.8,Konfeksioneri,2.99
92,,Brondong Jagung,800,190.6,8,1.4,Konfeksioneri,2.15
93,,Brongkos,282,25.2,30.6,6.6,Daging,4.67
94,ER014,Buah Markisa ,110,24.4,2.4,0.2,Buah,3.53
95,ER012,Buah Naga Merah ,142,18.2,3.4,6.2,Buah,3.25
96,ER013,Buah Naga Putih ,112,21.8,1.6,2,Buah,3.67
97,,Bubur,120,26,2,120,Serealia,4.02
98,BP023,Bubur Sagu,334,66,0.4,8,Umbi Berpati,2.42
99,AP040,Bubur Tinutuan,312,31.2,4.6,0.4,Serealia,3.41
100,FP040,Bulgogi ,144,2.8,22.8,9.8,Daging,2.82
101,,Buncis Rebus,60,12.8,4.4,0.4,Sayuran,3.22
102,DP030,Capcay,194,8.4,11.6,12.6,Sayuran,2.98
103,,Carica Papaya ,48,7.4,3.8,0.4,Buah,3.52
104,ER021,Cempedak,232,57.2,6,0.8,Daging,2.57
105,FP042,Chikiniku ,286,45.6,19.6,2.8,Daging,3.62
106,MP001,Cokelat Manis Batangan,1054,125.4,4,59.6,Konfeksioneri,2.35
107,MP002,Cokelat Pahit Batangan,1230,58.4,11,85.2,Konfeksioneri,2.72
108,MP003,Coklat Susu Batangan,1130,107.2,18,70,Konfeksioneri,3.45
109,,Combro,420,71.6,3.2,13.2,Konfeksioneri,3.03
110,,Corned Beef,482,0,32,50,Daging,3.24
111,FP044,Coto Mangkasara Daging Sapi ,168,2.8,12,12,Daging,4.74
112,FP043,Coto Mangkasara Kuda ,192,7.6,13.6,11.8,Daging,4.61
113,GP003,Cumi Goreng,530,0,81.2,20.2,Ikan dan Makanan Laut,2.58
114,FP014,Dendeng Sapi,602,0,110,18,Daging,3.79
115,FP013,Daging Sapi Asap,364,0,64,12,Daging,3.16
116,FP015,Kornet Daging Sapi,578,0,32,50,Daging,2.14
117,FP018,Dendeng Paru Sapi,720,38.4,114.6,12,Daging,2.75
118,FP019,Paru Sapi Goreng,536,29,47.8,25.4,Daging,3.05
119,,Dendeng Bekicot,882,31.6,97.4,40.6,Ikan dan Makanan Laut,2.15
120,,Dendeng Belut,764,16,111.4,28.2,Daging,2.64
121,,Dendeng Daging Sapi,866,0,110,18,Daging,2.73
122,,Dendeng Mujair,1196,18.4,148.6,53.8,Ikan dan Makanan Laut,3.92
123,,Dodol,790,162.4,6,11.4,Konfeksioneri,4.73
124,CP023,Dodol  Banjarmasin,736,140,5.2,17.2,Kacang-kacangan,2.02
125,AP043,Dodol Bali,596,131.8,7.4,4.2,Serealia,2.05
126,AP044,Dodol Galamai,696,152.2,0.8,7.6,Serealia,2.55
127,AP045,Dodol Kedondong,662,127.6,3.8,15.2,Serealia,2.12
128,AP046,Dodol Manado,746,103.8,8.6,33,Serealia,2.68
129,,Duku,126,32.2,2,0.4,Buah,2.22
130,ER023,Durian ,268,56,5,6,Buah,4.72
131,FP046,Empal Daging Goreng,496,20.2,72.4,13.8,Daging,2.38
132,CP024,Emping (Keripik Melinjo),690,143,24,3,Kacang-kacangan,3.37
133,CP027,Enting-Enting Gepuk Kacang Tanah,1048,104,26.6,58.4,Kacang-kacangan,4.48
134,CP028,Enting-Enting Wijen,1130,73.6,36.4,76.8,Kacang-kacangan,4.78
135,ER053,Es Apel ,54,12,0.8,0.4,Buah,2.19
136,JP001,Es Krim,420,41.2,8,25,Susu,4.16
137,,Coconut Milk Ice Cream,313.4,65.4,6,3.4,Konfeksioneri,3.59
138,,Es Mambo,304,75.2,0,0,Minuman,3.45
139,,Es Sirup,89.6,22.6,0,0,Minuman,4.38
140,DP031,Gado-Gado,274,42,12.2,6.4,Sayuran,4.53
141,BP006,Gadung Kukus,176,41.8,1.2,0.6,Umbi Berpati,2.08
142,,Getuk Lindri,342.8,64,8,8,Umbi Berpati,4.75
143,EP003,Getuk Pisang,288,68.2,2.2,0.8,Buah,4.65
144,GP063,Gulai Asam Keueung ,104,3.6,20,1,Ikan dan Makanan Laut,3.59
145,GP065,Gulai Ikan ,212,5,33,6.6,Ikan dan Makanan Laut,3.07
146,GP064,Gulai Ikan Paya ,296,10,20,19.6,Ikan dan Makanan Laut,3.86
147,,Gulai Kambing,252,12.4,8.4,18.8,Daging,3.08
148,GP066,Gulai Keumamah ,220,6.4,11.8,16.4,Ikan dan Makanan Laut,3.52
149,,Gulai Pakis,286,12,8,22.8,Sayuran,3.16
150,,Gulai Pliek,352,6.4,14.6,29.8,Sayuran,4.44
151,GP067,Gulai Tiram ,264,15.6,18,14.4,Ikan dan Makanan Laut,2.47
152,GP068,Gurami Asam Manis ,384,25.4,25.4,20.2,Ikan dan Makanan Laut,2.78
153,GP069,Ikan Asar Merah ,292,11.2,35.4,11.8,Ikan dan Makanan Laut,3.1
154,,Ikan Bilis Asin Goreng,760,0,67.2,55,Ikan dan Makanan Laut,2.2
155,,Ikan Gabus Asing Goreng,912,0,93,48.8,Ikan dan Makanan Laut,3.09
156,,Ikan Japuh Asin Goreng,696,0,37.4,59,Ikan dan Makanan Laut,4.62
157,,Ikan Asin Kering,386,0,84,3,Ikan dan Makanan Laut,3.7
158,,Ikan Pari Asin Goreng,860,0,116.4,47.2,Ikan dan Makanan Laut,4.94
159,,Ikan Pepetek Asin Goreng,1304,0,80.8,108.6,Ikan dan Makanan Laut,2.3
160,,Ikan Sirinding Asin Goreng,638,0,13.8,63.4,Ikan dan Makanan Laut,2.49
161,,Ikan Teri Asin Goreng,860,0,66.8,64.8,Ikan dan Makanan Laut,4.63
162,,Ikan Bandeng Presto ,592,22.6,34.2,40.6,Ikan dan Makanan Laut,3.07
163,,Ikan Belida Bakar,256,14.4,36,6,Ikan dan Makanan Laut,4.59
164,GP013,Ikan Gete Goreng,534,0.4,46.2,38.8,Ikan dan Makanan Laut,3.42
165,GP033,Ikan Hara ,568,29.2,68.2,19.8,Ikan dan Makanan Laut,3.6
166,GP017,Ikan Lele Bakar,294,10.8,35,13,Ikan dan Makanan Laut,4.16
167,,Ikan Lele Goreng,504,0,39.8,38.2,Ikan dan Makanan Laut,2.32
168,GR008,Ikan Lele Hemibagrus ,222,9.6,38.8,1.8,Ikan dan Makanan Laut,4.88
169,GP006,Ikan Lele Hemibagrus Bakar,288,10.4,35.6,11.6,Ikan dan Makanan Laut,3.57
170,GP019,Pepes Ikan Mas,418,23.6,30.4,22.6,Ikan dan Makanan Laut,4.73
171,,Ikan Mujair Goreng,832,0,93.8,47.8,Ikan dan Makanan Laut,3.8
172,,Pepes Ikan Mujair,242,1.6,43.4,5.6,Ikan dan Makanan Laut,3.27
173,GP075,Ikan Nila Acar Kuning ,660,24.2,35.6,46.8,Ikan dan Makanan Laut,3.69
174,,Ikan Papuyu Bakar,304,13.4,35.2,12.2,Ikan dan Makanan Laut,4.89
175,,Ikan Patin Bakar,288,8.6,35,12.6,Ikan dan Makanan Laut,4.85
176,,Ikan Sanggang ,480,41.4,43.4,15.4,Ikan dan Makanan Laut,3.54
177,AP012,Jagung Kuning Irebus,308,56.8,7.6,7,Serealia,3.29
178,,Jagung Rebus,350,70,3.6,3.6,Serealia,2.11
179,,Tumis Jagung,297.8,40.2,20.8,20.8,Serealia,4.01
180,ER030,Jambu Air ,92,23.6,1.2,0.4,Buah,3.31
181,ER031,Jambu Biji,98,24.4,1.8,0.6,Buah,3.42
182,ER032,Jambu Biji Tanpa Biji,122,30.8,1.8,0.6,Buah,3.64
183,,Jambu Bol,112,28.4,1.2,0.6,Buah,4.38
184,,Jambu Monyet,128,31.6,1.4,1.2,Buah,4.49
185,FP048,Jangang Bintatoeng ,214,33,10.6,4.4,Daging,2.9
186,ER035,Jeruk Bali ,96,24.8,1.2,0.4,Buah,3.73
187,,Jeruk Banjar ,122,28.2,1.6,0.4,Buah,3.28
188,,Jeruk Garut,88,21.8,1.6,0.6,Buah,3.53
189,,Jeruk Kalamansi ,78,17.8,0.6,0.6,Buah,2.85
190,ER037,Jeruk Mandarin,88,21.8,1.6,0.6,Buah,4.06
191,ER039,Jeruk Manis ,90,22.4,1.8,0.4,Buah,2.59
192,ER041,Jeruk Ragi ,98,22.2,1.4,0.4,Buah,3.47
193,,Juku Pallu Kaloa,30,17.6,30.4,8.6,Ikan dan Makanan Laut,4.35
194,,Kacang Bogor Goreng,958,117.8,25.4,46.4,Kacang-kacangan,2.03
195,,Kacang Bogor Rebus,322,54.2,15.4,5.6,Kacang-kacangan,3.69
196,CP005,Kacang Hijau Rebus,218,36.6,17.4,1,Kacang-kacangan,3.47
197,,Kacang Kapri Goreng,890,131,22,22,Kacang-kacangan,4.95
198,,Kacang Kedelai Goreng,1042,45.8,64.4,75.4,Serealia,2.71
