ID,Nama,Kalori,Karbohidrat,Protein,Lemak,Jenis,Rating,,,,
ER012,Buah naga merah ,142,18.2,3.4,6.2,Buah,3.25,,,,
ER013,Buah naga putih ,112,21.8,1.6,2,Buah,3.67,,,,
,Bubur,120,26,2,120,Serealia,4.02,,,,
BP023,Bubur sagu,334,66,0.4,8,Umbi Berpati,2.42,,,,
AP040,Bubur Tinotuan (Manado),312,31.2,4.6,0.4,Serealia,3.41,,,,
FP040,Bulgogi ,144,2.8,22.8,9.8,Daging,2.82,,,,
,Buncis rebus,60,12.8,4.4,0.4,Sayuran,3.22,,,,
FP036,Burger daging sapi,516,65,21.2,19,Daging,2.44,,,,
DP030,Capcai sayuran,194,8.4,11.6,12.6,Sayuran,2.98,,,,
,Carica papaya ,48,7.4,3.8,0.4,Buah,3.52,,,,
ER021,Cempedak (Artocarpus integer) ,232,57.2,6,0.8,Daging,2.57,,,,
FP042,Chikiniku ,286,45.6,19.6,2.8,Daging,3.62,,,,
MP001,Cokelat manis batangan,1054,125.4,4,59.6,Konfeksioneri,2.35,,,,
MP002,Cokelat pahit batangan,1230,58.4,11,85.2,Konfeksioneri,2.72,,,,
MP003,Coklat susu batangan,1130,107.2,18,70,Konfeksioneri,3.45,,,,
,Combro,420,71.6,3.2,13.2,Konfeksioneri,3.03,,,,
,Corned Beef,482,0,32,50,Daging,3.24,,,,
FP044,Coto mangkasara daging sapi ,168,2.8,12,12,Daging,4.74,,,,
FP043,Coto mangkasara kuda ,192,7.6,13.6,11.8,Daging,4.61,,,,
GP003,Cumi digoreng,530,0,81.2,20.2,Ikan dan Makanan Laut,2.58,,,,
BP040,Cumi keripik goreng,888,142.6,13.8,29.2,Umbi Berpati,4.1,,,,
FP014,Daging sapi daging daging dendeng mentah,602,0,110,18,Daging,3.79,,,,
FP013,Daging sapi daging diasap,364,0,64,12,Daging,3.16,,,,
FP015,Daging sapi daging kornet,578,0,32,50,Daging,2.14,,,,
FP018,Daging sapi paru-paru daging dendeng mentah,720,38.4,114.6,12,Daging,2.75,,,,
FP019,Daging sapi paru-paru digoreng,536,29,47.8,25.4,Daging,3.05,,,,
,Dendeng Bekicot,882,31.6,97.4,40.6,Ikan dan Makanan Laut,2.15,,,,
GP059,Dendeng belut digoreng,764,16,111.4,28.2,Ikan dan Makanan Laut,3.45,,,,
,Dendeng belut goreng,764,16,111.4,28.2,Daging,2.64,,,,
,Dendeng Daging Sapi,866,0,110,18,Daging,2.73,,,,
,Dendeng mujahir goreng,1196,18.4,148.6,53.8,Ikan dan Makanan Laut,3.92,,,,
GP060,Dendeng nila digoreng,1196,18.4,148.6,53.8,Ikan dan Makanan Laut,4.4,,,,
,Dodol,790,162.4,6,11.4,Konfeksioneri,4.73,,,,
CP023,Dodol (gula-gula) banjarmasin,736,140,5.2,17.2,Kacang-kacangan,2.02,,,,
AP043,Dodol bali,596,131.8,7.4,4.2,Serealia,2.05,,,,
AP044,Dodol galamai,696,152.2,0.8,7.6,Serealia,2.55,,,,
AP045,Dodol kedondong,662,127.6,3.8,15.2,Serealia,2.12,,,,
AP046,Dodol manado,746,103.8,8.6,33,Serealia,2.68,,,,
EP002,Dodol nanas,676,160.6,3,2.4,Buah,2.4,,,,
,Duku,126,32.2,2,0.4,Buah,2.22,,,,
ER023,Durian ,268,56,5,6,Buah,4.72,,,,
FP046,Empal (daging) Goreng lauk,496,20.2,72.4,13.8,Daging,2.38,,,,
CP024,Emping (keripik melinjo),690,143,24,3,Kacang-kacangan,3.37,,,,
CP027,Enting-enting gepuk kacang tanah,1048,104,26.6,58.4,Kacang-kacangan,4.48,,,,
CP028,Enting-enting wijen,1130,73.6,36.4,76.8,Kacang-kacangan,4.78,,,,
ER053,Es apel ,54,12,0.8,0.4,Buah,2.19,,,,
JP001,Es krim,420,41.2,8,25,Susu,4.16,,,,
,Es Krim (Coconut milk),313.4,65.4,6,3.4,Konfeksioneri,3.59,,,,
,Es Mambo,304,75.2,0,0,Minuman,3.45,,,,
,Es Sirup,89.6,22.6,0,0,Minuman,4.38,,,,
DP031,Gado-gado,274,42,12.2,6.4,Sayuran,4.53,,,,
BP035,Gadung keripik,892,152,5.6,29,Umbi Berpati,2.46,,,,
BP006,Gadung ubi dikukus,176,41.8,1.2,0.6,Umbi Berpati,2.08,,,,
,Getuk Lindri,342.8,64,8,8,Umbi Berpati,4.75,,,,
EP003,Getuk pisang,288,68.2,2.2,0.8,Buah,4.65,,,,
GP063,Gulai asam keueung ,104,3.6,20,1,Ikan dan Makanan Laut,3.59,,,,
GP065,Gulai ikan ,212,5,33,6.6,Ikan dan Makanan Laut,3.07,,,,
GP064,Gulai ikan paya ,296,10,20,19.6,Ikan dan Makanan Laut,3.86,,,,
,Gulai kambing,252,12.4,8.4,18.8,Daging,3.08,,,,
GP066,Gulai keumamah ,220,6.4,11.8,16.4,Ikan dan Makanan Laut,3.52,,,,
,Gulai pakis,286,12,8,22.8,Sayuran,3.16,,,,
,Gulai pliek,352,6.4,14.6,29.8,Sayuran,4.44,,,,
GP067,Gulai tiram ,264,15.6,18,14.4,Ikan dan Makanan Laut,2.47,,,,
GP068,Gurami asam manis ,384,25.4,25.4,20.2,Ikan dan Makanan Laut,2.78,,,,
GP069,Ikan asap merah ,292,11.2,35.4,11.8,Ikan dan Makanan Laut,3.1,,,,
,Ikan Asin bilis goreng,760,0,67.2,55,Ikan dan Makanan Laut,2.2,,,,
GP004,Ikan asin dikeringkan,386,0,84,3,Ikan dan Makanan Laut,3.21,,,,
,Ikan Asin gabus goreng,912,0,93,48.8,Ikan dan Makanan Laut,3.09,,,,
,Ikan Asin japuh goreng,696,0,37.4,59,Ikan dan Makanan Laut,4.62,,,,
,Ikan Asin kering,386,0,84,3,Ikan dan Makanan Laut,3.7,,,,
,Ikan Asin pari goreng,860,0,116.4,47.2,Ikan dan Makanan Laut,4.94,,,,
,Ikan Asin pepetek goreng,1304,0,80.8,108.6,Ikan dan Makanan Laut,2.3,,,,
,Ikan Asin sirinding goreng,638,0,13.8,63.4,Ikan dan Makanan Laut,2.49,,,,
,Ikan Asin teri goreng,860,0,66.8,64.8,Ikan dan Makanan Laut,4.63,,,,
,Ikan bandeng presto ,592,22.6,34.2,40.6,Ikan dan Makanan Laut,3.07,,,,
,Ikan Belida bakar,256,14.4,36,6,Ikan dan Makanan Laut,4.59,,,,
,Ikan Belut  goreng,834,64,51.8,38.8,Ikan dan Makanan Laut,2.64,,,,
GP013,Ikan gete digoreng,534,0.4,46.2,38.8,Ikan dan Makanan Laut,3.42,,,,
GP033,Ikan Hara ,568,29.2,68.2,19.8,Ikan dan Makanan Laut,3.6,,,,
GP017,Ikan lele bakar,294,10.8,35,13,Ikan dan Makanan Laut,4.16,,,,
,Ikan Lele goreng,504,0,39.8,38.2,Ikan dan Makanan Laut,2.32,,,,
GR008,Ikan lele hemibagrus ,222,9.6,38.8,1.8,Ikan dan Makanan Laut,4.88,,,,
GP006,Ikan lele hemibagrus dibakar,288,10.4,35.6,11.6,Ikan dan Makanan Laut,3.57,,,,
GP019,Ikan mas pepes,418,23.6,30.4,22.6,Ikan dan Makanan Laut,4.73,,,,
,Ikan Mujair dendeng goreng,1196,18.4,148.6,53.8,Ikan dan Makanan Laut,3.3,,,,
,Ikan Mujair goreng,832,0,93.8,47.8,Ikan dan Makanan Laut,3.8,,,,
,Ikan Mujair pepes,242,1.6,43.4,5.6,Ikan dan Makanan Laut,3.27,,,,
GP075,Ikan nila acar kuning ,660,24.2,35.6,46.8,Ikan dan Makanan Laut,3.69,,,,
GP020,Ikan nila goreng,832,0,93.8,47.8,Ikan dan Makanan Laut,2.29,,,,
,Ikan Papuyu bakar,304,13.4,35.2,12.2,Ikan dan Makanan Laut,4.89,,,,
,Ikan Patin bakar,288,8.6,35,12.6,Ikan dan Makanan Laut,4.85,,,,
,Ikan sanggang ,480,41.4,43.4,15.4,Ikan dan Makanan Laut,3.54,,,,
GP093,Ikan teri balado lauknya,730,35,47.4,44.6,Ikan dan Makanan Laut,2.06,,,,
AP012,Jagung kuning dikupas direbus,308,56.8,7.6,7,Serealia,3.29,,,,
,Jagung Rebus,350,70,3.6,3.6,Serealia,2.11,,,,
,Jagung Sayur (tumis),297.8,40.2,20.8,20.8,Serealia,4.01,,,,
ER030,Jambu air ,92,23.6,1.2,0.4,Buah,3.31,,,,
ER031,Jambu biji,98,24.4,1.8,0.6,Buah,3.42,,,,
ER032,Jambu biji biasa,122,30.8,1.8,0.6,Buah,3.64,,,,
,Jambu Bol,112,28.4,1.2,0.6,Buah,4.38,,,,
,Jambu Monyet buah,128,31.6,1.4,1.2,Buah,4.49,,,,
FP048,Jangang bintatoeng ,214,33,10.6,4.4,Daging,2.9,,,,
ER035,Jeruk bali ,96,24.8,1.2,0.4,Buah,3.73,,,,
,Jeruk banjar ,122,28.2,1.6,0.4,Buah,3.28,,,,
,Jeruk Garut,88,21.8,1.6,0.6,Buah,3.53,,,,
,Jeruk Kalamansi ,78,17.8,0.6,0.6,Buah,2.85,,,,
ER037,Jeruk mandarin,88,21.8,1.6,0.6,Buah,4.06,,,,
ER039,Jeruk manis ,90,22.4,1.8,0.4,Buah,2.59,,,,
ER041,Jeruk Ragi ,98,22.2,1.4,0.4,Buah,3.47,,,,
,Juku pallu kaloa,30,17.6,30.4,8.6,Ikan dan Makanan Laut,4.35,,,,
,Kacang Bogor goreng,958,117.8,25.4,46.4,Kacang-kacangan,2.03,,,,
,Kacang Bogor rebus,322,54.2,15.4,5.6,Kacang-kacangan,3.69,,,,
CP005,Kacang hijau rebus,218,36.6,17.4,1,Kacang-kacangan,3.47,,,,
,Kacang Kapri Goreng,890,131,22,22,Kacang-kacangan,4.95,,,,
,Kacang kedelai goreng,1042,45.8,64.4,75.4,Serealia,2.71,,,,
,Kacang Kedelai kukus,150,21.4,8.2,4.2,Serealia,4.96,,,,
,Kacang kedelai rebus,378,25.4,40.4,16.4,Serealia,3.31,,,,
CP009,Kacang merah  direbus,288,49.4,20,2,Kacang-kacangan,3.52,,,,
CP008,Kacang merah dikeringkan direbus,316,56.4,20.6,1.8,Kacang-kacangan,3.59,,,,
CP010,Kacang mete digoreng,1258,39.6,40.8,112.6,Kacang-kacangan,3.42,,,,
DP011,Kacang panjang dikukus,78,15.2,6,1.2,Sayuran,4.55,,,,
DP012,Kacang panjang rebus,60,11.6,4.6,0.8,Sayuran,3.32,,,,
